Producto;Precio más bajo (S/)
Fideo Frito Delgado al Huevo Chong Lee Bolsa 500 g;10.3
COSTENO Arroz Parbolizado Costeño Bolsa 750 g;5.6
COSTENO Arroz Arborio Costeño Bolsa 750 g;11.9
PAISANA Arroz Superior Bolsa 1 Kg;5.5
TABASCO Salsa Chipotle Botella 60 mL;13.9
TESORO DEL CAMPO Lenteja Menestra Bolsa 500 g;6.2
Don Italo Salsa de Tomate Envase 250 g;8.9
Don Italo Salsa Pesto Envase 250 g;23.9
Perejil Cuatro Estaciones Bolsa 10 g;6.6
TOTTUS Sal de Maras Fina Orígenes Doypack 600 g;10.5
PIKI Aderezo para Pollo Bolsa 100 g;3.1
COSTENO Harina de Arroz Costeño Bolsa 1 Kg;8.9
BKS Almendras Vizzio Chocolate Con Leche Caja 122 g;10.5
CARMENCITA Pimienta Negra Molida Envase 32 g;9.74
GOYA Sopa Neoguri Picante Nong Shim Bolsa 120 g;7.5
CARMENCITA Comino Molido 30 g;9.74
BADIA Orégano Entero Envase 14.2 g;9.9
GENERICO Harina Pre Tostada Especial Renacer Bolsa 500 g;16.9
CARMENCITA Canela Molida 25 g;9.74
REAL Filete de Atún en Agua Sin Sal Lata 140 g;4.9
CARMENCITA Cúrcuma Molida Envase 31 g;12.9
SIBARITA Ají Amarillo en Pasta Amarillin Doypack 550 g;18.1
PROVENZAL Mezcla para Ají de Gallina Bolsa 100 g;9.1
TESORO DEL CAMPO Frijol Caballero Menestra Bolsa 500 g;9.5
Comino Molido Kariño Bolsa 18 g;3.5
COSTENO Lentejón Menestra Costeño Bolsa 500 g;6.9
VALLENORTE Arroz Superior Bolsa 750 g;4
UNIVERSAL Flan Sabor a Vainilla Bolsa 150 g;5
TESORO DEL CAMPO Frijol Canario Menestra Bolsa 500 g;9.2
OLIVOS DEL SUR Aceite de Oliva Extra Virgen Botella 750 mL;69.6
TOTTUS Tapenade Mix Aceitunas Envase 185 g;7.9
TOTTUS Arroz Extra Añejo Premium Bolsa 750 g;4.1
PAISANA Arroz Extra Bolsa 1 Kg;5.8
TOTTUS Sal de Maras Gruesa con Hierbas Mediterráneas Orígenes Empaque 90 g;9.9
2 BANDERAS Aderezo Criollo BBQ Bolsa 90 g;3.5
TOTTUS Fideos Premium Spaghetti Bolsa 500 g;5.4
TOTTUS Cazuela de Lentejas Lata 425 g;7.1
UNIVERSAL Pudín Sabor a Vainilla Bolsa 100 g;4.2
Fideo Fetuccini Integral Age Empaque 500 g;14.5
WALIBI Salsa Vinagreta Doypack 85 g;5.4
TOTTUS Lentejas con Tocino Lata 425 g;7.1
GRAN CHALAN Arroz Superior Gran Chalán Bolsa 750 g;4
BARILLA Salsa de Tomate Arrabbiata Envase 400 g;19.8
TOTTUS Mayonesa Sabor a Queso Bolsa 100 g;4.4
ALACENA Mostaza Doypack 220 g;5.5
TESORO DEL CAMPO Lentejón Menestra Bolsa 500 g;6.4
TOTTUS Pasta de Ají Amarillo Envase 205 g;5.6
ROYAL Gelatina Sabor Fresa Bolsa 160 g;5
TOTTUS Mostaza de miel natural;9.9
GOYA Salsa Agridulce Lee Kum Kee Botella 240 g;29.6
GOYA Sal Gruesa Legendaria Rosada Envase 400 g;21.9
GOYA Salsa de Soya Oscura Lee Kum Kee Botella 500 mL;23.3
NATURANDES Blend 7 Semillas Chocolate Doypack 200 g;18.6
TOTTUS Ajonjolí Empaque 20 g;2.1
ORQUIDEA Bombones Rellenos Orquídea Bolsa 250 g;36.7
AMARU SUPERFOODS Chocoaguaymanto Bolsa 35 g;5.9
HELLMANN'S Ketchup Hellmanns Doypack 250 g;5.5
HELLMANN'S Mayonesa Clásica Hellmanns Doypack 237 g;5.5
LIL WOODZEEZ Gomitas Ambrosoli Flippy Bolsa 480 g;11.9
Granola Bites Cinnamon Roll Sumkha Bolsa 100 g;8.9
Granola Bites Manzana Sumkha Doypack 100 g;8.9
HUELLA VERDE Granola Chocolate Doypack 200 g;16.9
HUNT Salsa BBQ Hunts Chipotle Envase 305 g;10.51
SIBARITA Ají Panquita Bajo Picante Doypack 550 g;15.9
NISSIN Pasta Precocida Trigo Ramen Pollo Picante Empaque 85 g;2.7
NISSIN Pasta Precocida Trigo Ramen Costilla Empaque 85 g;2.7
NISSIN Pasta Precocida Cup Noodles Pollo Picante Empaque 68 g;6.2
NISSIN Pasta Precocida Cup Noodles Pollo Empaque 69 g;6.2
NISSIN Pasta Precocida Cup Noodles Carne Empaque 68 g;6.2
COMPASS Duraznos En Mitades x 820 g;9.8
D'GUSSTO Fideos Spaghetti D Gussto Bolsa 1 Kg;6
TOTTUS Palillo Molido Empaque 50 g;6
CARMENCITA Ajo en Polvo Envase 40 g;9.74
CARMENCITA Jengibre Molido Envase 25 g;9.74
TOTTUS Mayonesa Doypack 95 g;4
TOTTUS Mostaza Dijon;9.9
DON VITTORIO Linguini Grosso Paquete 500 g;3.3
NATURANDES Emoliente Sabor Manzana Bolsa 150 g;8.99
OLIVOS DEL SUR Aceituna Verde Rellenas con Pimiento Envase 380 g;22.9
POMAROLA Concentrado de Tomate Empaque 1 Kg;13.9
GLORIA Leche Condensada Doypack 1.2 Kg;20.5
BIMBO Kekitos PYC Naranja Bolsa 90 g;3.5
KEMAL KUKRER Vinagre de Manzana Botella 500 mL;16.8
BIMBO Kekitos PYC Vainilla Bolsa 90 g;3.5
Ramen Maruchan Pollo Empaque 85 g;3.7
LEE KUM KEE Salsa Hoisin Envase 397 g;27.9
MY FOODS Maní Vizzio Cubierto con Chocolate Caja 70 g;5
NESTLE Leche Condensada Nestlé Topping Lata 100 g;3
GOYA Ajo Picado Badia en Aceite de Oliva Envase 226.8 g;12.9
GOYA Salsa Tagliolini Carbo Pastarotti Bolsa 175 g;10.9
GOYA Sazonador para Fajitas Badia Envase 78 g;9.9
GOYA Sazonador para Tacos Badia Envase 78 g;9.9
GOYA Sazonador Harlem Garlic Badia Envase 170.1 g;21
D'GUSSTO Trozos de Atún D Gussto en Aceite Vegetal Lata 140 g;3.8
GOYA Pimentón Ahumado Badia Envase 106.3 g;21.9
GOYA Sazonador Holy Smokes Badia Envase 155.9 g;21
GOYA Sazonador 5 Especias Badia Envase 99.2 g;21
GOYA Salsa Penne Arrabiata Pastarotti Bolsa 175 g;10.9
BADIA Mezcla de Pimientas Envase 56.7 g;17.6
GOYA Sal Rosada con Ajo Negro Badia Envase 255.1 g;24.9
PIKI Ajo Molido Bolsa 350 g;10.2
CASA VERDE Dip con Palta Envase 225 g;8.9
Harina de Maca Amarilla Nuestra Salud Doypack 200 g;19.6
PAM Aceite de Canola en Aerosol Envase 177 mL;23.8
COSTENO Quinua Menestra Costeño Bolsa 500 g;8.5
TOTTUS Vinagreta Italiana Envase 240 g;4.9
GOYA Ají Panca Molido Piki Doypack 120 g;3.1
AGNESI Fideos Spaguetti Bolsa 1 Kg;22.5
BAZO VELARDE Fudge Heladero Doypack 200 g;3.9
JOKER Mermelada Mackays Escocesa de Tres Bayas Envase 340 g;22.9
OLI21 Aceite Oliva Extra Baja Envase 200 mL;21
OLI21 Kion Granulado Envase 50 g;13.9
OLI21 Vinagre Manzana Botella 500 mL;16.5
OLI21 Cebolla Granulada Envase 75 g;13.9
MAGGI Sopa Instantánea Sabor Pollo con Fideos Bolsa 57 g;4
TOTTUS Premezcla Brownie Caja 300 g;6.9
COSTENO Garbanzo Menestra Costeño Bolsa 500 g;7.4
CASA VERDE Tapenade Pura Alcachofa Envase 190 g;8.9
STASH Infusión Wild Raspberry Hibiscus Caja 20 Und;31.9
OLIVOS DEL SUR Aceite de Oliva Extra Virgen Botella 1 L;77.3
TOTTUS Aceite de Oliva Extra Virgen Botella 1 L;55.9
FLEISCHMANN Mezcla para Chantilly Bolsa 380 g;14.5
EL OLIVAR Aceite de Oliva Puro Botella 1 L;62.99
MEXI SALSA Salsa Picante Envase 430 g;12.8
MARCO POLO Fideo Tallarín Bolsa 450 g;2.5
BADIA Nuez Moscada Molida Empaque 56.7 g;13.9
PROVENZAL Salsa Huancaína Bolsa 64 g;9.1
OLIVOS DEL SUR Aceite de Ajonjolí Olivos del Sur Botella 500 mL;38.6
PAM Aceite en Spray Envase 141 g;23.8
TOTTUS Aceite de Oliva Extra Virgen Botella 1 L;55.9
FLEISCHMANN Mezcla para Chantilly Bolsa 380 g;14.5
2 CERRITOS Cereal Chocolate Burbujitas Bolsa 125 g;10.9
UNIVERSAL Flan Sabor a Chocolate Bolsa 150 g;5
SIBARITA Canela Molida Bolsa 10 g;2.6
VALLENORTE Arroz Integral Valle Norte Bolsa 750 g;5.6
VALLENORTE Arroz Añejo Superior Valle Norte Bolsa 750 g;4.5
TOTTUS Orégano Entero Empaque 10 g;5.3
TOTTUS Vinagreta Clásica Light Envase 237 g;4.9
TOTTUS Vinagreta Italiana Envase 240 g;4.9
GOYA Pasta Formaggi Makegusto Envase 55 g;7.5
GOYA Ají Panca Molido Piki Doypack 120 g;3.1
AGNESI Salsa de Tomate Envase 400 g;16.9
GOYA Salsa de Ostión Lee Kum Kee Botella 255 g;17.9
HERSHEYS Syrup de Chocolate Envase 680 g;31.9
CASA VERDE Dip con Palta Envase 225 g;8.9
AGNESI Fideos Spaguetti Bolsa 1 Kg;22.5
EL OLIVAR Aceite de Oliva Puro Botella 200 mL;16.9
BAZO VELARDE Fudge Heladero Doypack 200 g;3.9
JOKER Mermelada Mackays Escocesa de Tres Bayas Envase 340 g;22.9
COSTA Barra de Ceral Cereal Bar Maní Caja 12 Und;11
TOTTUS Aceituna Verde Rellena con Rocoto Bolsa 240 g;9.8
OLIVOS DEL SUR Aceituna Botija Entera 850 g;23.9
TOTTUS Gelatina Fresa Bolsa 100 g;3.6
TESORO DEL CAMPO Arveja Partida Menestra Bolsa 500 g;4.2
TOTTUS Gelatina Piña Bolsa 100 g;3.6
Curry Cuatro Estaciones Bolsa 15 g;3.5
GIUSEPPE CREMONINI Vinagre Balsámico Botella 250 mL;18.6
AGNESI Fideo Pennette Rigate Bolsa 500 g;14.9
LA MONTANARA Fideo Fetuccini de Huevo Montanara Bolsa 500 g;7.8
ZANA Gelatina Akami Sabor Naranja Caja 50 g;8.9
ZANA Gelatina Akami Sabor Fresa Caja 50 g;8.9
OLEICO Aceite Botella 710 mL;27.9
MEXI SALSA Salsa Picante Envase 430 g;12.8
EL OLIVAR Vinagreta a la Mostaza Envase 200 mL;9.9
PIKI Ají Amarillo Molido Bolsa 350 g;10.2
COSTENO Frijol Castilla Menestra Costeño Bolsa 500 g;6.6
PRECIO UNO Mayonesa Envase 475 g;5.6
PROVENZAL Salsa Alfredo Bolsa 65 g;8.9
OLIVOS DEL SUR Aceite de Oliva Extra Virgen Botella 1 L;77.3
GRAN CHALAN Arroz Extra Natural Bolsa 750 g;4.5
TOTTUS Salsa de Ají Amarillo Envase 370 g;6.2
GOYA Arroz Rissoto Arborio Inverni Caja 1 Kg;31.9
NISSIN Pasta Precocida Cup Noodles Pollo Picante Empaque 68 g;6.2
NISSIN Pasta Precocida Cup Noodles Pollo Empaque 69 g;6.2
NISSIN Pasta Precocida Ramen Sabor Carne Empaque 85 g;2.7
NISSIN Pasta Precocida Cup Noodles Verduras Empaque 67 g;6.2
NISSIN Pasta Precocida Cup Noodles Carne Empaque 68 g;6.2
GOYA Pasta Napolitana Makegusto Envase 55 g;7.5
DON VITTORIO Fetuccini Paquete 500 g;3.3
GOYA Pasta Formaggi Makegusto Envase 55 g;7.5
Mostaza B&D Envase 425 g;6.1
GOYA Salsa Penne Arrabiata Pastarotti Bolsa 175 g;10.9
GOYA Salsa Tagliolini Carbo Pastarotti Bolsa 175 g;10.9
GOYA Sazonador para Tacos Badia Envase 78 g;9.9
GOYA Sal Rosada con Ajo Negro Badia Envase 255.1 g;24.9
GOYA Sazonador 5 Especias Badia Envase 99.2 g;21
DON VITTORIO Linguini Grosso Paquete 500 g;3.3
TOTTUS Vinagreta Clásica Light Envase 237 g;4.9
POMAROLA Concentrado de Tomate Empaque 1 Kg;13.9
Ramen Maruchan Pollo Empaque 85 g;3.7
LEE KUM KEE Salsa Hoisin Envase 397 g;27.9
BIMBO Kekitos PYC Vainilla Bolsa 90 g;3.5
MY FOODS Maní Vizzio Cubierto con Chocolate Caja 70 g;5
TOTTUS Gelatina Piña Bolsa 100 g;3.6
JOKER Mermelada Escocesa Mackays de Arándano y Grosella Negra Envase 340 g;22.9
BIMBO Kekitos PYC Naranja Bolsa 90 g;3.5
TOTTUS Maíz Cancha Menestra Bolsa 400 g;5.9
SIBARITA Ajo en Pasta Siba Doypack 250 g;15
GOYA Salsa de Soya Lee Kum Kee Botella 500 mL;34.5
MAGGI Mezcla de Aderezo en Polvo para Pollo Brasa Empaque 45 g;2.5
AMARU SUPERFOODS Chococashew Bolsa 35 g;5.9
DON VITTORIO Rigatoni Paquete 250 g;2
LAIVE Bebida de Coco Sin Endulzar Pack 2 Cajas 946 mL;20.9
DON VITTORIO Canuto Chico Paquete 250 g;2
TOTTUS Mostaza Dulce y Picante Envase 280 g;9.9
TODINNO PANETON CHOCOTINNO 450G;22.9
AJINOMOTO Sopa Instantánea Ajimonen Vaso Pollo Picante Envase 50 g;3
BAZO VELARDE Manjar Blanco Casero Bolsa 500 g;6.39
BONLE Manjarblanco Bolsa 200 g;4.9
NATURANDES Semilla Ajonjolí Doypack 250 g;9.8
Ketchup Dgussto Doypack 400 g;6.9
TESORO DEL CAMPO Quinua Menestra Bolsa 500 g;10.2
GOYA Sal Marina y Trufas Negras Badia Envase 255.1 g;41.6
BARILLA Salsa Basilico Envase 400 g;20.9
Cobertura Blanca Negusa Sixpack Caja 100 g;14.99
Crema de Chocolate y Avellanas Negusa Envase 350 g;16.25
Cobertura Bitter Negusa Caja 600 g;14.99
Cocoa Negusa Bolsa 150 g;10.4
MOLITALIA Premezcla Keke de Vainilla Bolsa 450 g;8.5
MOLITALIA Premezcla Torta de Chocolate Bolsa 500 g;8.5
CASA VERDE Salsa Roja Pouch Empaque 160 g;4.5
DON VITTORIO Spaguetti Paquete 500 g;3.3
BONLE Manjarblanco Bolsa 500 g;10.9
MARCO POLO Fideo Spaghetti Bolsa 450 g;2.5
PROVENZAL Base para Ocopa Bolsa 70 g;9.1
NONGSHIM Sopa Marisco Nong Shim Envase 111 g;10.5
DON VITTORIO Linguini Paquete 500 g;3.3
TOTTUS Keke Naranja Bolsa 380 g;8.9
